#separator:tab
#html:false
5.11 语法 （37） there is there are 的注意点（否定，缩写， it's）  听力（2023河北 独白1） 1. 我告诉你我会迟到那个聚会 2. 7点会完成  单词 1. 城堡 2. 太阳系 3. 橄榄球 4. 英语字母表 5. 医院 6. 州	1. castle 2. rugby  i‘ll be a little late for the party. It can be done at about 7 o'clock
11.2  carrot cat cartoon  cartoonist  rain cats and dogs catch - caught - caught  catch up catch a cold	If you miss many classes, it's difficult to catch up.         so than    can 目的状语， 为了是
cause   [kɔz] cause sth1 to do sth2.  celebrate  [ˈseləˌbreɪt] v  celebration n cent    precent  two fifths 2/5  centre n 中心   central adj 中央的，中心的  century 世纪 n  [ˈsentʃəri] centuries  复数  certain adj [ˈsɜrt(ə)n] 人或物   sure adj 主语只能是人   uncertain adj 不确信 certainly adv 当然   challenge  [ˈtʃæləndʒ] chance  [tʃæns] celebrate  my brithday two fifths 2/5 of 名词 is/are 名词决定谓语动词的单复数 in the center of == in the middle ofit is certain that another + 单数名词challenged sb to  挑战	Do you mind opening the door?He challenged me to play another tennis game.my teacher encourages /ɪnˈkɝː.ɪdʒ/ me to face the challenges in my study.       have a chance （延续性动词）    get a chance by chance/ accident == accidentallyit is a good chance to do sth.
11.04 change  [tʃeɪndʒ]   n 变化 可数n 零钱  不可数v 改变	seeing the new changes in her hometown, I could hardly believe my eyes.Here is your change.Hangzhou has changed a lot in the past few years. (现在完成时标志词)
11.12  chemistry [ˈkemɪstri] n adj  chemis [ˈkemɪst] n  physics  n [ˈfɪzɪks]    p.e biology [baɪˈɑlədʒi] geography [dʒiˈɑɡrəfi]  history Chinese  English maths science [ˈsaɪəns] arts music	
12.08  circle clear clean  v adj 使干净， 清洁的 circle the wordsclass 4， grade 8	classmate deskmate roommate
12.23 close  v  [kloʊz]  关闭 close  adj  [kloʊs]  接近，亲密的  close friendclose the door	close friend speak out to 大声说给will  be reduced 将来时被动语态 be the closest to 离...最近
a e i o u  本音 自然发音 @ e i a v	
2.27  cost	1. 金钱上的开销，代价和成本 动词：  the ticket cost me $50how much dose it cost?  名词： cost of living is high in the city.at the cost of a job cost  spend take pay  Cost：物作主语（Something costs...） Spend：人作主语（I spend money/time on...） Pay：人付钱（I paid for the meal.） Take：常指花时间（It takes time...）     charge cost fee fare 花费  差异  entrance fee. the air fare of the airline. the cost of building a new branch the charge is around 10$
2.27  1. cut[kʌt]	1. 动词 切、割、剪、砍。 1. I need to get my hair cut. 2. I cut the cake into eight pieces.  2. 名词 1. 伤口 a small cut on my finger.  短语  1. cut off  the electricity was cut off. 2. cut down you should cut down on sugar  we need cut down the cost. 3. cut in don't cut in while I'm talkig Don't cut in the line.  4. cut it out  够了！/ 别闹了！         ˈʃʊɡər waɪl  [ɪkˈsepʃn]  “异常报错” (Error/Exception)
2.27 1. hurt [hɜːrt]   我弄伤了我的腿。 别担心，这不会疼的。 长期坐着（Sitting for a long time）会伤害你的腰。	肉疼和心里疼  1. 不及物 my back hurts.  2.及物 I hurt my finger his words hurt me. This bug hurts our user experience  形容词 are you hurt? I feel hurt   hurt vs pain vs injure： Hurt：最通用。既指肉体疼，也指心里难受。 Pain：通常作名词。指持续的“疼痛感”（比如：I have a pain in my chest）。 Injure：更正式 V。常指事故中的“受伤”（比如：He was injured in a car accident）。  It won't hurt to try. (will not)   无妨 It won't hurt to ...  peɪn [ˈjuzər ɪkˈspɪriəns [aʊə(r)] ˈɪndʒə(r)  [weɪst]   1. I hurt my leg. 2. Don't worry，it won't hurt. 3. Sitting for a long time will hurt your back.  waist Waist 更多指“腰围”或“腰部那圈线条”（比如量衣服尺寸时）。
2.27 1. hit   不要打那个小男孩。 我们的网站昨天达到了 100 万次访问量。 已经 11 点了，我该睡觉了。（尝试用老师教的那个“睡觉”短语哦！）	"1. 动词 the boy hit the ball with the bat. hit the tree then it hit me. "" (我突然想到了/我突然醒悟了。) 2. 名词 page hits 名词用法 (Noun) 点击或者 热门事物。 the new song is a big hit.    短语 hit the road  hut the hay/sack   1. Don't hit that little boy.  2. my page hits are over 1million. 3. It's 11o'clock, I should hit the hay.    hen sæk"
2.27  let   让我帮你解决这个 Bug。 我们去听赵雷的音乐吧。 我不想让我的女儿失望。	"1. 让 Let me try.  let it  go.   不能加 to 2. 邀请 let's go home.   let me down. I won't let you down.  let alone 更不用说、何况。 He can't speak English, let alone IELTS."" (他英语都不会说，更别提雅思了。) —— 当然，这对你来说只是暂时的，我们会一起搞定它！   （The International English Language Testing System）  ˈaɪelts  1. Let me help you fix the bug. 2. let's go to listen zhaolei's concert.(x)  === Let's go and listen to Zhao Lei's music. 3. I won't let my daughter down."
3.1  听力没听出来  At a quarter to seven this morning，my classmates and I set out for the Modern Farm.  trust /trʌst/ raise /reɪz/ disturb /dɪˈstɜːb/ supply /səˈplaɪ/ ski /skiː/ （如果是指滑雪，正确拼写是 ski） skate /skeɪt/ insist /ɪnˈsɪst/ separate /ˈsepəreɪt/ （作动词发音，如你的例句 I separated from you；如果作形容词“分开的”，发音是 /ˈsepərət/） climb /klaɪm/ （注意这里的 b 是不发音的） recite /rɪˈsaɪt/ regard /rɪˈɡɑːd/ license /ˈlaɪsns/ policy /ˈpɒləsi/ （注：你给的 /ˈpɑːləsi/ 是美式发音，这里按英标为你统一了英式发音） giraffe /dʒəˈrɑːf/ silver /ˈsɪlvə/ piece /piːs/ hobby /ˈhɒbi/ eye /aɪ/ sausage /ˈsɒsɪdʒ/ supper /ˈsʌpə/ sugar /ˈʃʊɡə/ the Pacific ocean /ðə pəˈsɪfɪk ˈəʊʃn/ quarter /ˈkwɔːtə/ spoon /spuːn/ experiment /ɪkˈsperɪmənt/ period /ˈpɪəriəd/ poem /ˈpəʊɪm/ breath /breθ/ grape /ɡreɪp/ taste /teɪst/ effort /ˈefət/ mushroom /ˈmʌʃruːm/ model /ˈmɒdl/ soon /suːn/ noisy /ˈnɔɪzi/ similar /ˈsɪmələ/ proper /ˈprɒpə/ theater /ˈθɪətə/ （英式拼写通常为 theatre） honor /ˈɒnə/ （英式拼写通常为 honour） hang /hæŋ/ mouth /maʊθ/ lost /lɒst/	
air  airplane airport	
3.21   AAA （11）	cost read    读音不同ri:d  redhitletputcutsetspreadspitshuthurt
这个座位有人吗	excuse me, it this seat taken？
